state_name,state_fips_code,county_fips_code,county_name,population_1950,residence_telephones_1945,population_under5_1950,population_over65_1950,births,black_pop
ALABAMA,01,001,AUTAUGA,18186,274,2342,1510,510,8366
ALABAMA,01,003,BALDWIN,40997,1026,5449,3030,1312,9224
ALABAMA,01,005,BARBOUR,28892,711,3984,2033,608,15428
ALABAMA,01,007,BIBB,17987,191,2286,1408,332,5828
ALABAMA,01,009,BLOUNT,28975,308,3513,1904,504,811
ALABAMA,01,011,BULLOCK,16054,253,2179,1458,366,11816
ALABAMA,01,013,BUTLER,29228,636,3859,2231,592,13094
ALABAMA,01,015,CALHOUN,79539,3423,9910,4335,2364,15192
ALABAMA,01,017,CHAMBERS,39528,204,4675,2747,786,14507
ALABAMA,01,019,CHEROKEE,17634,316,2143,1168,330,1658
ALABAMA,01,021,CHILTON,26922,361,3167,2076,546,4308
ALABAMA,01,023,CHOCTAW,19152,80,2663,1390,402,10055
ALABAMA,01,025,CLARKE,26548,544,3423,2200,718,13194
ALABAMA,01,027,CLAY,13929,408,1526,1295,256,2215
ALABAMA,01,029,CLEBURNE,11904,113,1409,911,214,786
ALABAMA,01,031,COFFEE,30720,681,4031,1776,784,6482
ALABAMA,01,033,COLBERT,39561,2341,5015,2275,1048,8308
ALABAMA,01,035,CONECUH,21776,322,2881,1771,420,9865
ALABAMA,01,037,COOSA,11766,95,1404,1007,202,3930
ALABAMA,01,039,COVINGTON,40373,1321,4685,2824,748,6096
ALABAMA,01,041,CRENSHAW,18981,275,2391,1488,326,6074
ALABAMA,01,043,CULLMAN,49046,944,6048,3052,978,490
ALABAMA,01,045,DALE,20828,618,2536,1509,876,4853
ALABAMA,01,047,DALLAS,56270,2234,7664,4487,1822,36576
ALABAMA,01,049,DE KALB,45048,1743,5323,2891,820,856
ALABAMA,01,051,ELMORE,31649,992,3732,2334,734,11394
ALABAMA,01,053,ESCAMBIA,31443,742,3999,2128,892,10565
ALABAMA,01,055,ETOWAH,93892,3873,11807,4879,2104,13520
ALABAMA,01,057,FAYETTE,19388,338,2318,1438,298,2869
ALABAMA,01,059,FRANKLIN,25705,555,3106,1687,478,1337
ALABAMA,01,061,GENEVA,25899,433,3100,1797,478,3419
ALABAMA,01,063,GREENE,16482,178,2146,1576,358,13680
ALABAMA,01,065,HALE,20832,244,2913,1823,544,14645
ALABAMA,01,067,HENRY,18674,286,2493,1230,358,9094
ALABAMA,01,069,HOUSTON,46522,2304,5718,2994,1236,13677
ALABAMA,01,071,JACKSON,38998,416,5042,2607,874,2301
ALABAMA,01,073,JEFFERSON,558928,50334,65379,32843,15164,208480
ALABAMA,01,075,LAMAR,16441,20,1881,1381,292,2433
ALABAMA,01,077,LAUDERDALE,54179,2244,6648,3138,1446,7260
ALABAMA,01,079,LAWRENCE,27128,257,3749,1639,586,5941
ALABAMA,01,081,LEE,45073,1530,5441,2409,1270,18119
ALABAMA,01,083,LIMESTONE,35766,648,4916,2214,910,8155
ALABAMA,01,085,LOWNDES,18018,114,2633,1574,482,14811
ALABAMA,01,087,MACON,30561,575,3549,2159,556,25793
ALABAMA,01,089,MADISON,72903,2404,9225,4488,3620,19830
ALABAMA,01,091,MARENGO,29494,634,3849,2661,744,20469
ALABAMA,01,093,MARION,27264,179,3372,1657,390,736
ALABAMA,01,095,MARSHALL,45090,758,5485,2756,1174,1037
ALABAMA,01,097,MOBILE,231105,14345,30214,12163,8958,78113
ALABAMA,01,099,MONROE,25732,447,3426,1783,582,13149
ALABAMA,01,101,MONTGOMERY,138965,10937,16794,8853,4234,60589
ALABAMA,01,103,MORGAN,52924,2620,6187,3752,1494,7939
ALABAMA,01,105,PERRY,20439,400,2664,1740,418,13796
ALABAMA,01,107,PICKENS,24349,311,3037,1903,482,11663
ALABAMA,01,109,PIKE,30608,917,3840,2197,614,13529
ALABAMA,01,111,RANDOLPH,22513,419,2563,1714,448,5808
ALABAMA,01,113,RUSSELL,40364,1521,5481,2373,1358,20989
ALABAMA,01,115,ST CLAIR,26687,269,3196,1854,582,4857
ALABAMA,01,117,SHELBY,30362,473,3536,2206,806,6619
ALABAMA,01,119,SUMTER,23610,297,3155,2054,508,17967
ALABAMA,01,121,TALLADEGA,63639,1843,8170,3514,1654,20046
ALABAMA,01,123,TALLAPOOSA,35074,771,4256,2548,788,10031
ALABAMA,01,125,TUSCALOOSA,94092,3318,10619,5826,2508,25875
ALABAMA,01,127,WALKER,63769,916,7903,3925,1276,6823
ALABAMA,01,129,WASHINGTON,15612,98,2283,1004,430,6136
ALABAMA,01,131,WILCOX,23476,254,3394,2010,498,18570
ALABAMA,01,133,WINSTON,18250,315,2399,1041,356,110
ARIZONA,04,001,APACHE,27767,303,4332,1127,1458,21020
ARIZONA,04,003,COCHISE,31488,2439,3630,2657,1672,504
ARIZONA,04,005,COCONINO,23910,903,3528,1020,1442,8679
ARIZONA,04,007,GILA,24158,1178,3199,1566,752,2875
ARIZONA,04,009,GRAHAM,12985,648,1755,790,334,1454
ARIZONA,04,011,GREENLEE,12805,322,2023,434,262,282
ARIZONA,04,013,MARICOPA,331770,20351,39321,20495,17818,21233
ARIZONA,04,015,MOHAVE,8510,490,1068,501,210,698
ARIZONA,04,017,NAVAJO,29446,1125,4573,1458,1436,15047
ARIZONA,04,019,PIMA,141216,10711,15978,7909,7184,12003
ARIZONA,04,021,PINAL,43191,1065,6097,1881,1944,7602
ARIZONA,04,023,SANTA CRUZ,9344,515,1180,658,382,206
ARIZONA,04,025,YAVAPAI,24991,1645,2492,2442,612,725
ARIZONA,04,027,YUMA,28006,1385,3549,1303,1254,2857
ARKANSAS,05,001,ARKANSAS,23665,931,2998,1647,502,5514
ARKANSAS,05,003,ASHLEY,25660,819,3453,1695,646,9751
ARKANSAS,05,005,BAXTER,11683,276,1452,838,146,12
ARKANSAS,05,007,BENTON,38076,2330,3749,4355,734,76
ARKANSAS,05,009,BOONE,16260,1098,1706,1531,344,0
ARKANSAS,05,011,BRADLEY,15987,690,1964,1239,318,5388
ARKANSAS,05,013,CALHOUN,7132,159,750,685,78,2453
ARKANSAS,05,015,CARROLL,13244,531,1311,1615,178,26
ARKANSAS,05,017,CHICOT,22306,568,2810,1947,502,12179
ARKANSAS,05,019,CLARK,22998,911,2443,1879,414,6278
ARKANSAS,05,021,CLAY,26674,410,3188,2038,336,0
ARKANSAS,05,023,CLEBURNE,11487,271,1287,989,172,0
ARKANSAS,05,025,CLEVELAND,8956,126,1014,816,132,2185
ARKANSAS,05,027,COLUMBIA,28770,1062,3193,2052,586,11249
ARKANSAS,05,029,CONWAY,18137,395,2087,1486,300,4280
ARKANSAS,05,031,CRAIGHEAD,50613,1795,6175,3215,1018,1569
ARKANSAS,05,033,CRAWFORD,22727,914,2528,1982,416,659
ARKANSAS,05,035,CRITTENDEN,47184,666,7007,3085,1472,31519
ARKANSAS,05,037,CROSS,24757,455,3596,1714,476,7972
ARKANSAS,05,039,DALLAS,12416,557,1542,1137,192,4867
ARKANSAS,05,041,DESHA,25155,575,3437,1656,566,12074
ARKANSAS,05,043,DREW,17959,513,2078,1539,314,6052
ARKANSAS,05,045,FAULKNER,25289,864,2719,2024,458,2832
ARKANSAS,05,047,FRANKLIN,12358,397,1299,1269,164,198
ARKANSAS,05,049,FULTON,9187,70,991,853,96,9
ARKANSAS,05,051,GARLAND,47102,3223,4819,4599,932,5605
ARKANSAS,05,053,GRANT,9024,214,968,812,154,740
ARKANSAS,05,055,GREENE,29149,830,3373,2178,508,58
ARKANSAS,05,057,HEMPSTEAD,25080,1029,2688,2294,362,10233
ARKANSAS,05,059,HOT SPRING,22181,577,2728,1573,420,2861
ARKANSAS,05,061,HOWARD,13342,431,1431,1214,198,2735
ARKANSAS,05,063,INDEPENDENCE,23488,681,2569,2037,356,658
ARKANSAS,05,065,IZARD,9953,68,1073,882,112,100
ARKANSAS,05,067,JACKSON,25912,580,3560,1686,502,3757
ARKANSAS,05,069,JEFFERSON,76075,5341,9448,5741,2054,37885
ARKANSAS,05,071,JOHNSON,16138,449,1700,1512,200,242
ARKANSAS,05,073,LAFAYETTE,13203,408,1595,1129,238,5968
ARKANSAS,05,075,LAWRENCE,21303,320,2634,1518,370,277
ARKANSAS,05,077,LEE,24322,336,3505,1853,514,14447
ARKANSAS,05,079,LINCOLN,17079,201,2172,1282,344,9103
ARKANSAS,05,081,LITTLE RIVER,11690,277,1416,1036,188,3940
ARKANSAS,05,083,LOGAN,20260,770,2032,2048,264,506
ARKANSAS,05,085,LONOKE,27278,601,3524,2180,580,6656
ARKANSAS,05,087,MADISON,11734,167,1315,1130,140,12
ARKANSAS,05,089,MARION,8609,43,1015,716,98,0
ARKANSAS,05,091,MILLER,32614,1844,3870,2427,662,8806
ARKANSAS,05,093,MISSISSIPPI,82375,1805,11758,4068,2086,22159
ARKANSAS,05,095,MONROE,19540,464,2611,1506,488,9536
ARKANSAS,05,097,MONTGOMERY,6680,86,714,652,86,33
ARKANSAS,05,099,NEVADA,14781,688,1567,1300,180,5321
ARKANSAS,05,101,NEWTON,8685,62,1103,665,116,0
ARKANSAS,05,103,OUACHITA,33051,1390,4124,2199,628,13518
ARKANSAS,05,105,PERRY,5978,53,716,545,76,245
ARKANSAS,05,107,PHILLIPS,46254,1469,6339,3329,1216,27614
ARKANSAS,05,109,PIKE,10032,235,1070,871,156,492
ARKANSAS,05,111,POINSETT,39311,677,5684,1965,818,3263
ARKANSAS,05,113,POLK,14182,520,1494,1505,178,14
ARKANSAS,05,115,POPE,23291,883,2547,1997,428,722
ARKANSAS,05,117,PRAIRIE,13768,208,1689,1056,178,2258
ARKANSAS,05,119,PULASKI,196685,19845,21760,14485,6554,47204
ARKANSAS,05,121,RANDOLPH,15982,267,1905,1287,252,160
ARKANSAS,05,123,ST FRANCIS,36841,751,5322,2338,1084,21147
ARKANSAS,05,125,SALINE,23816,500,2363,2034,492,1334
ARKANSAS,05,127,SCOTT,10057,258,1046,879,118,131
ARKANSAS,05,129,SEARCY,10424,75,1224,883,132,0
ARKANSAS,05,131,SEBASTIAN,64202,6728,7143,5400,1558,4302
ARKANSAS,05,133,SEVIER,12293,434,1272,1187,192,1180
ARKANSAS,05,135,SHARP,8999,97,1008,819,96,9
ARKANSAS,05,137,STONE,7662,67,891,560,102,8
ARKANSAS,05,139,UNION,49686,3560,5824,3280,1074,15850
ARKANSAS,05,141,VAN BUREN,9687,106,1086,846,148,116
ARKANSAS,05,143,WASHINGTON,49979,2164,5225,4446,1244,450
ARKANSAS,05,145,WHITE,38040,1111,4542,2950,640,1331
ARKANSAS,05,147,WOODRUFF,18957,372,2607,1387,306,7128
ARKANSAS,05,149,YELL,14057,364,1433,1423,200,548
CALIFORNIA,06,001,ALAMEDA,740315,136335,75645,63949,20682,85136
CALIFORNIA,06,003,ALPINE,241,0,20,24,14,82
CALIFORNIA,06,005,AMADOR,9151,801,814,992,158,275
CALIFORNIA,06,007,BUTTE,64930,475,6629,6872,1780,1299
CALIFORNIA,06,009,CALAVERAS,9902,505,956,1074,204,198
CALIFORNIA,06,011,COLUSA,11651,1085,1272,1129,274,419
CALIFORNIA,06,013,CONTRA COSTA,298984,16173,41199,12177,9364,25414
CALIFORNIA,06,015,DEL NORTE,8078,247,944,708,488,509
CALIFORNIA,06,017,EL DORADO,16207,1112,1583,1635,662,178
CALIFORNIA,06,019,FRESNO,276515,25913,32515,18973,9226,19080
CALIFORNIA,06,021,GLENN,15448,1373,1725,1408,338,170
CALIFORNIA,06,023,HUMBOLDT,69241,5512,7682,5437,2738,1939
CALIFORNIA,06,025,IMPERIAL,62975,3218,8035,2626,1948,5038
CALIFORNIA,06,027,INYO,11658,684,1250,784,234,816
CALIFORNIA,06,029,KERN,228309,17521,28936,11030,7692,14612
CALIFORNIA,06,031,KINGS,46768,3165,6041,2733,1302,2432
CALIFORNIA,06,033,LAKE,11481,808,954,1689,196,379
CALIFORNIA,06,035,LASSEN,18474,1841,2370,995,260,776
CALIFORNIA,06,037,LOS ANGELES,4151687,586060,401822,377445,136960,274011
CALIFORNIA,06,039,MADERA,36964,1532,4626,2272,982,3216
CALIFORNIA,06,041,MARIN,85619,11249,9018,6296,3302,3853
CALIFORNIA,06,043,MARIPOSA,5145,359,429,626,96,201
CALIFORNIA,06,045,MENDOCINO,40854,2376,4303,3915,1038,1675
CALIFORNIA,06,047,MERCED,69780,3724,9078,3979,2670,3908
CALIFORNIA,06,049,MODOC,9678,418,1206,621,168,348
CALIFORNIA,06,051,MONO,2115,41,181,140,54,266
