county_name,state_fips,state_name,old_county_fips,new_county_fips
COLUMBUS CITY,13,GEORGIA,510,121
YELLOWSTONE NAT.,30,MONTANA,113,111
ORMSBY,32,NEVADA,025,510
ARMSTRONG,46,SOUTH DAKOTA,001,003
WASHABAUGH,46,SOUTH DAKOTA,131,071
WASHINGTON,46,SOUTH DAKOTA,133,093
ELIZABETH CITY,51,VIRGINIA,055,550
NANSEMOND,51,VIRGINIA,123,800
NORFOLK,51,VIRGINIA,129,710
PRINCESS ANNE,51,VIRGINIA,154,810
WARWICK,51,VIRGINIA,189,700
SOUTH BOSTON CITY,51,VIRGINIA,780,083
SOUTH NORFOLK CITY,51,VIRGINIA,785,550
WARWICK CITY,51,VIRGINIA,815,700
YELLOWSTONE NAT.,56,WYOMING,047,039
YELLOWSTONE NAT.,16,IDAHO,089,043
